CBRO-2021 (Brazil),Aves Argentinas
Thamnophilus torquatus,
Thamnophilus palliatus,
Thamnophilus schistaceus,
Thamnophilus murinus,
Thamnophilus cryptoleucus,
Thamnophilus nigrocinereus,
Thamnophilus punctatus,
Thamnophilus stictocephalus,
Thamnophilus sticturus,
Thamnophilus pelzelni,
Thamnophilus ambiguus,
Thamnophilus caerulescens,
Thamnophilus aethiops,
Thamnophilus melanothorax,
Thamnophilus amazonicus,
Thamnophilus insignis,
Thamnophilus divisorius,
Cymbilaimus lineatus,
Cymbilaimus sanctaemariae,
Taraba major,
Hypoedaleus guttatus,
Batara cinerea,
Mackenziaena leachii,
Mackenziaena severa,
Frederickena viridis,
Frederickena unduliger,
Radinopsyche sellowi,
Biatas nigropectus,
Myrmoderus ferrugineus,
Myrmoderus ruficauda,
Myrmoderus loricatus,
Myrmoderus squamosus,
Hypocnemoides maculicauda,
Hypocnemoides melanopogon,
Hylophylax naevius,
Hylophylax punctulatus,
Sclateria naevia,
Myrmelastes saturatus,
Myrmelastes schistaceus,
Myrmelastes hyperythrus,
Myrmelastes rufifacies,
Myrmelastes leucostigma,
Myrmelastes humaythae,
Myrmelastes caurensis,
Myrmeciza longipes,
Myrmoborus melanurus,
Myrmoborus lophotes,
Myrmoborus myotherinus,
Myrmoborus leucophrys,
Myrmoborus berlepschi,
Myrmoborus stictopterus,
Myrmoborus lugubris,
Pyriglena maura,
Pyriglena similis,
Pyriglena leuconota,
Pyriglena pernambucensis,
Pyriglena atra,
Pyriglena leucoptera,
Rhopornis ardesiacus,
Percnostola rufifrons,
Percnostola subcristata,
Percnostola minor,
Akletos melanoceps,
Akletos goeldii,
Hafferia fortis,
Sciaphylax hemimelaena,
Sciaphylax pallens,
Cercomacra manu,
Cercomacra brasiliana,
Cercomacra cinerascens,
Cercomacra melanaria,
Cercomacra ferdinandi,
Cercomacra carbonaria,
Cercomacroides nigrescens,
Cercomacroides fuscicauda,
Cercomacroides laeta,
Cercomacroides tyrannina,
Cercomacroides serva,
Drymophila ferruginea,
Drymophila rubricollis,
Drymophila genei,
Drymophila ochropyga,
Drymophila malura,
Drymophila squamata,
Drymophila devillei,
Hypocnemis hypoxantha,
Hypocnemis subflava,
Hypocnemis cantator,
Hypocnemis flavescens,
Hypocnemis peruviana,
Hypocnemis ochrogyna,
Hypocnemis rondoni,
Hypocnemis striata,
Pithys albifrons,
Willisornis poecilinotus,
Willisornis vidua,
Phlegopsis nigromaculata,
Phlegopsis borbae,
Phlegopsis erythroptera,
Gymnopithys leucaspis,
Gymnopithys rufigula,
Oneillornis salvini,
Rhegmatorhina gymnops,
Rhegmatorhina berlepschi,
Rhegmatorhina hoffmannsi,
Rhegmatorhina cristata,
Rhegmatorhina melanosticta,
Melanopareia bitorquata,
Melanopareia torquata,
Conopophaga melanogaster,
Conopophaga melanops,
Conopophaga aurita,
Conopophaga peruviana,
Conopophaga cearae,
Conopophaga roberti,
Conopophaga lineata,
Grallaria varia,
Grallaria guatimalensis,
Grallaria eludens,
Cryptopezus nattereri,
Grallaricula nana,
Hylopezus ochroleucus,
Hylopezus macularius,
Hylopezus dilutus,
Hylopezus whittakeri,
Hylopezus paraensis,
Myrmothera berlepschi,
Myrmothera campanisona,
Myrmothera simplex,
Myrmothera subcanescens,
Psilorhamphus guttatus,
Liosceles thoracicus,
Merulaxis ater,
Merulaxis stresemanni,
Eleoscytalopus indigoticus,
Eleoscytalopus psychopompus,
Scytalopus iraiensis,
Scytalopus diamantinensis,
Scytalopus novacapitalis,
Scytalopus petrophilus,
Scytalopus pachecoi,
Scytalopus gonzagai,
Scytalopus speluncae,
Formicarius colma,
Formicarius analis,
Formicarius rufifrons,
Chamaeza campanisona,
Chamaeza nobilis,
Chamaeza meruloides,
Chamaeza ruficauda,
Sclerurus peruvianus,
Sclerurus macconnelli,
Sclerurus rufigularis,
Sclerurus caudacutus,
Sclerurus albigularis,
Sclerurus cearensis,
Sclerurus scansor,
Geositta cunicularia,
Geositta poeciloptera,
Certhiasomus stictolaemus,
Sittasomus griseicapillus,
Deconychura longicauda,
Dendrocincla merula,
Dendrocincla fuliginosa,
Dendrocincla atrirostris,
Dendrocincla taunayi,
Dendrocincla turdina,
Glyphorynchus spirurus,
Dendrexetastes rufigula,
Dendrexetastes devillei,
Dendrexetastes paraensis,
Nasica longirostris,
Dendrocolaptes certhia,
Dendrocolaptes radiolatus,
Dendrocolaptes juruanus,
Dendrocolaptes concolor,
Dendrocolaptes ridgwayi,
Dendrocolaptes retentus,
Dendrocolaptes medius,
Dendrocolaptes picumnus,
Dendrocolaptes hoffmannsi,
Dendrocolaptes transfasciatus,
Dendrocolaptes platyrostris,
Hylexetastes stresemanni,
Hylexetastes perrotii,
Hylexetastes uniformis,
Xiphocolaptes promeropirhynchus,
Xiphocolaptes carajaensis,
Xiphocolaptes falcirostris,
Xiphocolaptes albicollis,
Xiphocolaptes major,
Xiphorhynchus obsoletus,
Xiphorhynchus fuscus,
Xiphorhynchus atlanticus,
Xiphorhynchus pardalotus,
Xiphorhynchus chunchotambo,
Xiphorhynchus beauperthuysii,
Xiphorhynchus ocellatus,
Xiphorhynchus elegans,
Xiphorhynchus spixii,
Xiphorhynchus guttatus,
Xiphorhynchus guttatoides,
Dendroplex picus,
Dendroplex kienerii,
Campylorhamphus trochilirostris,
Campylorhamphus falcularius,
Campylorhamphus multostriatus,
Campylorhamphus probatus,
Campylorhamphus cardosoi,
Campylorhamphus procurvoides,
Campylorhamphus sanus,
Campylorhamphus gyldenstolpei,
Drymornis bridgesii,
Lepidocolaptes souleyetii,
Lepidocolaptes angustirostris,
Lepidocolaptes wagleri,
Lepidocolaptes squamatus,
Lepidocolaptes falcinellus,
Lepidocolaptes duidae,
Lepidocolaptes albolineatus,
Lepidocolaptes fatimalimae,
Lepidocolaptes fuscicapillus,
Lepidocolaptes layardi,
Xenops tenuirostris,
Xenops minutus,
Xenops rutilans,
Berlepschia rikeri,
Microxenops milleri,
Tarphonomus certhioides,
Furnarius figulus,
Furnarius leucopus,
Furnarius torridus,
Furnarius minor,
Furnarius rufus,
Lochmias nematura,
Phleocryptes melanops,
Limnornis curvirostris,
Cinclodes espinhacensis,
Cinclodes pabsti,
Cinclodes fuscus,
Anabazenops dorsalis,
Anabazenops fuscus,
Megaxenops parnaguae,
Cichlocolaptes mazarbarnetti,
Cichlocolaptes leucophrus,
Heliobletus contaminatus,
Philydor erythrocercum,
Philydor novaesi,
Philydor atricapillus,
Philydor pyrrhodes,
Anabacerthia ruficaudata,
Anabacerthia amaurotis,
Anabacerthia lichtensteini,
Syndactyla rufosuperciliata,
Syndactyla dimidiata,
Syndactyla roraimae,
Syndactyla ucayalae,
Ancistrops strigilatus,
Dendroma rufa,
Dendroma erythroptera,
Clibanornis rectirostris,
Clibanornis dendrocolaptoides,
Clibanornis obscurus,
Clibanornis watkinsorum,
Automolus rufipileatus,
Automolus melanopezus,
Automolus cervicalis,
Automolus subulatus,
Automolus ochrolaemus,
Automolus infuscatus,
Automolus paraensis,
Automolus lammi,
Automolus leucophthalmus,
Leptasthenura platensis,
Leptasthenura striolata,
Leptasthenura setaria,
Phacellodomus rufifrons,
Phacellodomus sibilatrix,
Phacellodomus striaticollis,
Phacellodomus ruber,
Phacellodomus erythrophthalmus,
Phacellodomus ferrugineigula,
Anumbius annumbi,
Coryphistera alaudina,
Asthenes baeri,
Asthenes luizae,
Asthenes hudsoni,
Asthenes moreirae,
Asthenes pyrrholeuca,
Acrobatornis fonsecai,
Metopothrix aurantiaca,
Roraimia adusta,
Thripophaga macroura,
Thripophaga fusciceps,
Limnoctites rectirostris,
Limnoctites sulphuriferus,
Cranioleuca vulpina,
Cranioleuca vulpecula,
Cranioleuca pyrrhophia,
Cranioleuca obsoleta,
Cranioleuca pallida,
Cranioleuca semicinerea,
Cranioleuca demissa,
Cranioleuca gutturata,
Cranioleuca muelleri,
Spartonoica maluroides,
Pseudoseisura cristata,
Pseudoseisura unirufa,
Pseudoseisura lophotes,
Certhiaxis cinnamomeus,
Certhiaxis mustelinus,
Mazaria propinqua,
Schoeniophylax phryganophilus,
Synallaxis scutata,
Synallaxis cinerascens,
Synallaxis gujanensis,
Synallaxis simoni,
Synallaxis albilora,
Synallaxis hellmayri,
Synallaxis sp.,
Synallaxis ruficapilla,
Synallaxis cinerea,
Synallaxis infuscata,
Synallaxis macconnelli,
Synallaxis hypospodia,
Synallaxis spixi,
Synallaxis albigularis,
Synallaxis albescens,
Synallaxis frontalis,
Synallaxis kollari,
Synallaxis rutilans,
Synallaxis cherriei,
Neopelma pallescens,
Neopelma chrysocephalum,
Neopelma aurifrons,
Neopelma chrysolophum,
Neopelma sulphureiventer,
Tyranneutes stolzmanni,
Tyranneutes virescens,
Ilicura militaris,
Corapipo gutturalis,
Chiroxiphia pareola,
Chiroxiphia regina,
Chiroxiphia caudata,
Antilophia bokermanni,
Antilophia galeata,
Xenopipo uniformis,
Xenopipo atronitens,
Lepidothrix coronata,
Lepidothrix nattereri,
Lepidothrix vilasboasi,
Lepidothrix iris,
Lepidothrix serena,
Lepidothrix suavissima,
Manacus manacus,
Heterocercus aurantiivertex,
Heterocercus flavivertex,
Heterocercus linteatus,
Pipra aureola,
Pipra filicauda,
Pipra fasciicauda,
Machaeropterus regulus,
Machaeropterus striolatus,
Machaeropterus pyrocephalus,
Pseudopipra pipra,
Ceratopipra cornuta,
Ceratopipra erythrocephala,
Ceratopipra rubrocapilla,
Ceratopipra chloromeros,
Pipreola whitelyi,
Carpornis cucullata,
Carpornis melanocephala,
Rupicola rupicola,
Phoenicircus carnifex,
Phoenicircus nigricollis,
Phytotoma rutila,
Phibalura flavirostris,
Haematoderus militaris,
Querula purpurata,
Pyroderus scutatus,
Perissocephalus tricolor,
Cephalopterus ornatus,
Lipaugus streptophorus,
Lipaugus vociferans,
Lipaugus lanioides,
Lipaugus ater,
Lipaugus conditus,
Procnias albus,
Procnias averano,
Procnias nudicollis,
Cotinga maynana,
Cotinga cayana,
Cotinga cotinga,
Cotinga maculata,
Porphyrolaema porphyrolaema,
Gymnoderus foetidus,
Conioptilon mcilhennyi,
Xipholena punicea,
Xipholena lamellipennis,
Xipholena atropurpurea,
Schiffornis major,
Schiffornis virescens,
Schiffornis turdina,
Schiffornis olivacea,
Schiffornis amazonum,
Laniocera hypopyrra,
Laniisoma elegans,
Iodopleura isabellae,
Iodopleura fusca,
Iodopleura pipra,
Tityra inquisitor,
Tityra cayana,
Tityra semifasciata,
Pachyramphus viridis,
Pachyramphus xanthogenys,
Pachyramphus rufus,
Pachyramphus castaneus,
Pachyramphus polychopterus,
Pachyramphus marginatus,
Pachyramphus surinamus,
Pachyramphus minor,
Pachyramphus validus,
Xenopsaris albinucha,
Oxyruncus cristatus,
Onychorhynchus coronatus,
Onychorhynchus swainsoni,
Terenotriccus erythrurus,
Myiobius barbatus,
Myiobius atricaudus,
Piprites chloris,
Piprites pileata,
Calyptura cristata,
Neopipo cinnamomea,
Platyrinchus saturatus,
Platyrinchus mystaceus,
Platyrinchus coronatus,
Platyrinchus platyrhynchos,
Platyrinchus leucoryphus,
Tachuris rubrigastra,
Mionectes amazonus,
Mionectes oleagineus,
Mionectes roraimae,
Mionectes macconnelli,
Mionectes rufiventris,
Leptopogon amaurocephalus,
Corythopis torquatus,
Corythopis delalandi,
Phylloscartes chapmani,
Phylloscartes eximius,
Phylloscartes ventralis,
Phylloscartes kronei,
Phylloscartes beckeri,
Phylloscartes virescens,
Phylloscartes nigrifrons,
Phylloscartes ceciliae,
Phylloscartes roquettei,
Phylloscartes paulista,
Phylloscartes oustaleti,
Phylloscartes difficilis,
Phylloscartes sylviolus,
Rhynchocyclus olivaceus,
Tolmomyias sulphurescens,
Tolmomyias assimilis,
Tolmomyias sucunduri,
Tolmomyias poliocephalus,
Tolmomyias flaviventris,
Taeniotriccus andrei,
Cnipodectes subbrunneus,
Cnipodectes superrufus,
Todirostrum maculatum,
Todirostrum poliocephalum,
Todirostrum cinereum,
Todirostrum pictum,
Todirostrum chrysocrotaphum,
Poecilotriccus albifacies,
Poecilotriccus capitalis,
Poecilotriccus senex,
Poecilotriccus russatus,
Poecilotriccus plumbeiceps,
Poecilotriccus fumifrons,
Poecilotriccus latirostris,
Poecilotriccus sylvia,
Myiornis auricularis,
Myiornis ecaudatus,
Hemitriccus cohnhafti,
Hemitriccus minor,
Hemitriccus flammulatus,
Hemitriccus diops,
Hemitriccus obsoletus,
Hemitriccus josephinae,
Hemitriccus zosterops,
Hemitriccus griseipectus,
Hemitriccus orbitatus,
Hemitriccus iohannis,
Hemitriccus striaticollis,
Hemitriccus nidipendulus,
Hemitriccus margaritaceiventer,
Hemitriccus inornatus,
Hemitriccus minimus,
Hemitriccus mirandae,
Hemitriccus kaempferi,
Hemitriccus furcatus,
Atalotriccus pilaris,
Lophotriccus vitiosus,
Lophotriccus eulophotes,
Lophotriccus galeatus,
Hirundinea ferruginea,
Zimmerius chicomendesi,
Zimmerius acer,
Zimmerius gracilipes,
Stigmatura napensis,
Stigmatura budytoides,
Inezia inornata,
Inezia subflava,
Inezia caudata,
Euscarthmus meloryphus,
Euscarthmus rufomarginatus,
Tyranniscus burmeisteri,
Ornithion inerme,
Camptostoma obsoletum,
Elaenia flavogaster,
Elaenia spectabilis,
Elaenia ridleyana,
Elaenia chilensis,
Elaenia parvirostris,
Elaenia mesoleuca,
Elaenia pelzelni,
Elaenia cristata,
Elaenia chiriquensis,
Elaenia ruficeps,
Elaenia obscura,
Elaenia dayi,
Elaenia olivina,
Suiriri suiriri,
Myiopagis gaimardii,
Myiopagis caniceps,
Myiopagis flavivertex,
Myiopagis viridicata,
Tyrannulus elatus,
Capsiempis flaveola,
Phaeomyias murina,
Phyllomyias virescens,
Phyllomyias reiseri,
Phyllomyias fasciatus,
Phyllomyias griseiceps,
Phyllomyias weedeni,
Phyllomyias griseocapilla,
Mecocerculus leucophrys,
Culicivora caudacuta,
Polystictus pectoralis,
Polystictus superciliaris,
Pseudocolopteryx sclateri,
Pseudocolopteryx acutipennis,
Pseudocolopteryx flaviventris,
Serpophaga hypoleuca,
Serpophaga nigricans,
Serpophaga subcristata,
Serpophaga griseicapilla,
Attila phoenicurus,
Attila cinnamomeus,
Attila citriniventris,
Attila bolivianus,
Attila rufus,
Attila spadiceus,
Legatus leucophaius,
Ramphotrigon megacephalum,
Ramphotrigon ruficauda,
Ramphotrigon fuscicauda,
Myiarchus tuberculifer,
Myiarchus swainsoni,
Myiarchus ferox,
Myiarchus tyrannulus,
Sirystes albocinereus,
Sirystes subcanescens,
Sirystes sibilator,
Rhytipterna simplex,
Rhytipterna immunda,
Casiornis rufus,
Casiornis fuscus,
Pitangus sulphuratus,
Philohydor lictor,
Machetornis rixosa,
Myiodynastes luteiventris,
Myiodynastes maculatus,
Tyrannopsis sulphurea,
Megarynchus pitangua,
Myiozetetes cayanensis,
Myiozetetes similis,
Myiozetetes granadensis,
Myiozetetes luteiventris,
Tyrannus albogularis,
Tyrannus melancholicus,
Tyrannus monachus,
Tyrannus savana,
Tyrannus tyrannus,
Tyrannus dominicensis,
Griseotyrannus aurantioatrocristatus,
Empidonomus varius,
Conopias trivirgatus,
Conopias parvus,
Guyramemua affine,
Sublegatus obscurior,
Sublegatus modestus,
Colonia colonus,
Arundinicola leucocephala,
Fluvicola pica,
Fluvicola albiventer,
Fluvicola nengeta,
Pyrocephalus rubinus,
Muscipipra vetula,
Gubernetes yetapa,
Heteroxolmis dominicanus,
Alectrurus tricolor,
Alectrurus risora,
Myiophobus fasciatus,
Scotomyias roraimae,
Ochthornis littoralis,
Cnemotriccus fuscatus,
Lathrotriccus euleri,
Empidonax alnorum,
Contopus cooperi,
Contopus fumigatus,
Contopus virens,
Contopus cinereus,
Contopus sordidulus,
Contopus albogularis,
Contopus nigrescens,
Satrapa icterophrys,
Syrtidicola fluviatilis,
Muscisaxicola maculirostris,
Muscisaxicola maclovianus,
Muscisaxicola capistratus,
Lessonia rufa,
Hymenops perspicillatus,
Knipolegus orenocensis,
Knipolegus poecilurus,
Knipolegus poecilocercus,
Knipolegus franciscanus,
Knipolegus lophotes,
Knipolegus nigerrimus,
Knipolegus cyanirostris,
Knipolegus striaticeps,
Knipolegus hudsoni,
Knipolegus aterrimus,
Xolmis irupero,
Xolmis velatus,
Nengetus cinereus,
Nengetus coronatus,
Nengetus rubetra,
Nengetus rufiventris,
Agriornis micropterus,
Agriornis murinus,
Cyclarhis gujanensis,
Vireolanius leucotis,
Hylophilus amaurocephalus,
Hylophilus poicilotis,
Hylophilus pectoralis,
Hylophilus semicinereus,
Hylophilus brunneiceps,
Hylophilus thoracicus,
Tunchiornis ochraceiceps,
Pachysylvia hypoxantha,
Pachysylvia muscicapina,
Vireo sclateri,
Vireo olivaceus,
Vireo chivi,
Vireo gracilirostris,
Vireo flavoviridis,
Vireo altiloquus,
Cyanocorax violaceus,
Cyanocorax cyanomelas,
Cyanocorax caeruleus,
Cyanocorax cristatellus,
Cyanocorax cayanus,
Cyanocorax heilprini,
Cyanocorax hafferi,
Cyanocorax chrysops,
Cyanocorax cyanopogon,
Pygochelidon cyanoleuca,
Pygochelidon melanoleuca,
Alopochelidon fucata,
Atticora fasciata,
Atticora tibialis,
Stelgidopteryx ruficollis,
Progne tapera,
Progne subis,
Progne dominicensis,
Progne cryptoleuca,
Progne chalybea,
Progne elegans,
Tachycineta albiventer,
Tachycineta leucorrhoa,
Tachycineta leucopyga,
Riparia riparia,
Hirundo rustica,
Petrochelidon pyrrhonota,
Microcerculus marginatus,
Microcerculus ustulatus,
Microcerculus bambla,
Odontorchilus cinereus,
Troglodytes musculus,
Troglodytes rufulus,
Cistothorus platensis,
Campylorhynchus griseus,
Campylorhynchus turdinus,
Pheugopedius genibarbis,
Pheugopedius coraya,
Cantorchilus leucotis,
Cantorchilus longirostris,
Cantorchilus guarayanus,
Cantorchilus griseus,
Henicorhina leucosticta,
Cyphorhinus arada,
Cyphorhinus transfluvialis,
Cyphorhinus modulator,
Cyphorhinus interpositus,
Cyphorhinus griseolateralis,
Microbates collaris,
Ramphocaenus melanurus,
Ramphocaenus sticturus,
Polioptila innotata,
Polioptila dumicola,
Polioptila atricapilla,
Polioptila plumbea,
Polioptila parvirostris,
Polioptila lactea,
Polioptila guianensis,
Polioptila paraensis,
Polioptila attenboroughi,
Polioptila facilis,
Donacobius atricapilla,
Catharus aurantiirostris,
Catharus fuscescens,
Catharus minimus,
Catharus swainsoni,
Cichlopsis leucogenys,
Turdus iliacus,
Turdus leucops,
Turdus flavipes,
Turdus leucomelas,
Turdus fumigatus,
Turdus hauxwelli,
Turdus rufiventris,
Turdus nudigenis,
Turdus sanchezorum,
Turdus lawrencii,
Turdus murinus,
Turdus amaurochalinus,
Turdus arthuri,
Turdus debilis,
Turdus olivater,
Turdus subalaris,
Turdus albicollis,
Mimus gilvus,
Mimus saturninus,
Mimus triurus,
Sturnus vulgaris,
Estrilda astrild,
Passer domesticus,
Anthus chii,
Anthus furcatus,
Anthus correndera,
Anthus nattereri,
Anthus hellmayri,
Carduelis carduelis,
Spinus yarrellii,
Spinus magellanicus,
Cyanophonia cyanocephala,
Chlorophonia cyanea,
Euphonia plumbea,
Euphonia chlorotica,
Euphonia finschi,
Euphonia chrysopasta,
Euphonia minuta,
Euphonia chalybea,
Euphonia violacea,
Euphonia laniirostris,
Euphonia xanthogaster,
Euphonia cayennensis,
Euphonia rufiventris,
Euphonia pectoralis,
Ammodramus humeralis,
Ammodramus aurifrons,
Arremonops conirostris,
Arremon taciturnus,
Arremon franciscanus,
Arremon semitorquatus,
Arremon flavirostris,
Arremon polionotus,
Zonotrichia capensis,
Atlapetes personatus,
Dolichonyx oryzivorus,
Sturnella magna,
Leistes militaris,
Leistes superciliaris,
Leistes defilippii,
Psarocolius angustifrons,
Psarocolius decumanus,
Psarocolius viridis,
Psarocolius bifasciatus,
Cacicus solitarius,
Cacicus chrysopterus,
Cacicus koepckeae,
Cacicus cela,
Cacicus latirostris,
Cacicus haemorrhous,
Cacicus oseryi,
Icterus croconotus,
Icterus jamacaii,
Icterus pyrrhopterus,
Icterus chrysocephalus,
Icterus cayanensis,
Icterus galbula,
Icterus nigrogularis,
Molothrus rufoaxillaris,
Molothrus oryzivorus,
Molothrus bonariensis,
Quiscalus lugubris,
Lampropsar tanagrinus,
Gymnomystax mexicanus,
Macroagelaius imthurni,
Amblyramphus holosericeus,
Anumara forbesi,
Gnorimopsar chopi,
Agelaioides badius,
Agelaioides fringillarius,
Agelasticus thilius,
Agelasticus atroolivaceus,
Agelasticus cyanopus,
Chrysomus ruficapillus,
Chrysomus icterocephalus,
Xanthopsar flavus,
Pseudoleistes guirahuro,
Pseudoleistes virescens,
Parkesia noveboracensis,
Parkesia motacilla,
Mniotilta varia,
Leiothlypis peregrina,
Geothlypis agilis,
Geothlypis aequinoctialis,
Setophaga ruticilla,
Setophaga cerulea,
Setophaga pitiayumi,
Setophaga fusca,
Setophaga petechia,
Setophaga striata,
Setophaga virens,
Myiothlypis leucophrys,
Myiothlypis flaveola,
Myiothlypis leucoblephara,
Myiothlypis fulvicauda,
Myiothlypis rivularis,
Myiothlypis bivittata,
Myiothlypis mesoleuca,
Basileuterus culicivorus,
Myioborus miniatus,
Myioborus castaneocapilla,
Mitrospingus oleagineus,
Lamprospiza melanoleuca,
Orthogonys chloricterus,
Piranga flava,
Piranga lutea,
Piranga rubra,
Piranga olivacea,
Piranga leucoptera,
Habia rubra,
Habia rubica,
Pheucticus aureoventris,
Pheucticus ludovicianus,
Granatellus pelzelni,
Caryothraustes canadensis,
Caryothraustes brasiliensis,
Periporphyrus erythromelas,
Amaurospiza moesta,
Cyanoloxia rothschildii,
Cyanoloxia glaucocaerulea,
Cyanoloxia brissonii,
Spiza americana,
Charitospiza eucosma,
Parkerthraustes humeralis,
Orchesticus abeillei,
Nemosia pileata,
Nemosia rourei,
Cyanicterus cyanicterus,
Compsothraupis loricata,
Coryphaspiza melanotis,
Embernagra platensis,
Embernagra longicauda,
Emberizoides herbicola,
Emberizoides ypiranganus,
Rhopospina fruticeti,
Porphyrospiza caerulescens,
Chlorophanes spiza,
Hemithraupis flavicollis,
Hemithraupis guira,
Hemithraupis ruficapilla,
Tersina viridis,
Cyanerpes nitidus,
Cyanerpes caeruleus,
Cyanerpes cyaneus,
Dacnis albiventris,
Dacnis nigripes,
Dacnis flaviventer,
Dacnis cayana,
Dacnis lineata,
Saltatricula atricollis,
Saltatricula multicolor,
Saltator maximus,
Saltator coerulescens,
Saltator similis,
Saltator maxillosus,
Saltator aurantiirostris,
Saltator grossus,
Saltator fuliginosus,
Coereba flaveola,
Asemospiza obscura,
Asemospiza fuliginosa,
Volatinia jacarina,
Conothraupis speculigera,
Conothraupis mesoleuca,
Eucometis penicillata,
Trichothraupis melanops,
Loriotus luctuosus,
Loriotus cristatus,
Loriotus rufiventer,
Coryphospingus pileatus,
Coryphospingus cucullatus,
Maschalethraupis surinamus,
Lanio versicolor,
Lanio fulvus,
Tachyphonus phoenicius,
Tachyphonus rufus,
Tachyphonus coronatus,
Ramphocelus bresilia,
Ramphocelus nigrogularis,
Ramphocelus carbo,
Sporophila lineola,
Sporophila frontalis,
Sporophila falcirostris,
Sporophila schistacea,
Sporophila intermedia,
Sporophila plumbea,
Sporophila beltoni,
Sporophila americana,
Sporophila murallae,
Sporophila collaris,
Sporophila bouvronides,
Sporophila luctuosa,
Sporophila nigricollis,
Sporophila ardesiaca,
Sporophila caerulescens,
Sporophila albogularis,
Sporophila leucoptera,
Sporophila nigrorufa,
Sporophila bouvreuil,
Sporophila pileata,
Sporophila minuta,
Sporophila hypoxantha,
Sporophila ruficollis,
Sporophila iberaensis,
Sporophila palustris,
Sporophila castaneiventris,
Sporophila hypochroma,
Sporophila cinnamomea,
Sporophila melanogaster,
Sporophila angolensis,
Sporophila crassirostris,
Sporophila maximiliani,
Dolospingus fringilloides,
Poospiza nigrorufa,
Thlypopsis sordida,
Thlypopsis pyrrhocoma,
Castanozoster thoracicus,
Cypsnagra hirundinacea,
Donacospiza albifrons,
Microspingus lateralis,
Microspingus cabanisi,
Microspingus melanoleucus,
Microspingus cinereus,
Conirostrum speciosum,
Conirostrum bicolor,
Conirostrum margaritae,
Sicalis citrina,
Sicalis flaveola,
Sicalis columbiana,
Sicalis luteola,
Haplospiza unicolor,
Catamenia homochroa,
Diglossa duidae,
Diglossa major,
Pipraeidea melanonota,
Rauenia bonariensis,
Neothraupis fasciata,
Gubernatrix cristata,
Diuca diuca,
Stephanophorus diadematus,
Cissopis leverianus,
Schistochlamys melanopis,
Schistochlamys ruficapillus,
Paroaria coronata,
Paroaria dominicana,
Paroaria baeri,
Paroaria xinguensis,
Paroaria gularis,
Paroaria cervicalis,
Paroaria capitata,
Ixothraupis varia,
Ixothraupis punctata,
Ixothraupis guttata,
Ixothraupis xanthogastra,
Thraupis episcopus,
Thraupis sayaca,
Thraupis cyanoptera,
Thraupis palmarum,
Thraupis ornata,
Stilpnia cyanoptera,
Stilpnia nigrocincta,
Stilpnia cyanicollis,
Stilpnia peruviana,
Stilpnia preciosa,
Stilpnia cayana,
Tangara gyrola,
Tangara schrankii,
Tangara fastuosa,
Tangara seledon,
Tangara cyanocephala,
Tangara cyanoventris,
Tangara desmaresti,
Tangara mexicana,
Tangara brasiliensis,
Tangara chilensis,
Tangara callophrys,
Tangara velia,
Tangara cyanomelas,